Tarikh,Negeri,Kes Baharu,Kes Keseluruhan,Kematian Baharu,Kematian Keseluruhan,Populasi Dewasa,Peratus Populasi Dewasa,Menerima Dos Pertama,Menerima Dos Kedua,Kumpulan Keutamaan yang Berdaftar,Peratusan Vaksinasi %,Jumlah Belum Berdaftar
2020-03-30,Sarawak,6,135,2,7,,,,,,,
2020-03-30,Kuala Lumpur,24,396,0,7,,,,,,,
2020-03-30,Putrajaya,2,24,0,0,,,,,,,
2020-03-30,Labuan,0,10,0,0,,,,,,,
2020-03-31,Perlis,1,12,0,1,,,,,,,
2020-03-31,Kedah,0,77,0,1,,,,,,,
2020-03-31,Pulau Pinang,6,94,0,1,,,,,,,
2020-03-31,Perak,5,189,0,3,,,,,,,
2020-03-31,Selangor,32,704,1,3,,,,,,,
2020-03-31,Negeri Sembilan,9,181,1,2,,,,,,,
2020-03-31,Melaka,2,52,0,1,,,,,,,
2020-03-31,Johor,16,349,0,10,,,,,,,
2020-03-31,Pahang,3,102,0,0,,,,,,,
2020-03-31,Terengganu,0,47,0,0,,,,,,,
2020-03-31,Kelantan,4,131,0,2,,,,,,,
2020-03-31,Sabah,5,206,0,1,,,,,,,
2020-03-31,Sarawak,21,156,1,8,,,,,,,
2020-03-31,Kuala Lumpur,34,430,2,9,,,,,,,
2020-03-31,Putrajaya,2,26,0,0,,,,,,,
2020-03-31,Labuan,0,10,0,0,,,,,,,
2020-04-01,Perlis,0,12,0,1,,,,,,,
2020-04-01,Kedah,2,79,0,1,,,,,,,
2020-04-01,Pulau Pinang,2,96,0,1,,,,,,,
2020-04-01,Perak,5,194,0,3,,,,,,,
2020-04-01,Selangor,22,726,0,3,,,,,,,
2020-04-01,Negeri Sembilan,8,189,0,2,,,,,,,
2020-04-01,Melaka,11,63,0,1,,,,,,,
2020-04-01,Johor,19,368,0,10,,,,,,,
2020-04-01,Pahang,9,111,0,0,,,,,,,
2020-04-01,Terengganu,1,48,0,0,,,,,,,
2020-04-01,Kelantan,3,134,0,2,,,,,,,
2020-04-01,Sabah,3,209,0,1,,,,,,,
2020-04-01,Sarawak,32,188,0,8,,,,,,,
2020-04-01,Kuala Lumpur,25,455,2,11,,,,,,,
2020-04-01,Putrajaya,0,26,0,0,,,,,,,
2020-04-01,Labuan,0,10,0,0,,,,,,,
2020-04-02,Perlis,0,12,0,1,,,,,,,
2020-04-02,Kedah,1,80,0,1,,,,,,,
2020-04-02,Pulau Pinang,2,98,0,1,,,,,,,
2020-04-02,Perak,6,200,0,3,,,,,,,
2020-04-02,Selangor,74,800,0,3,,,,,,,
2020-04-02,Negeri Sembilan,18,207,1,3,,,,,,,
2020-04-02,Melaka,7,70,0,1,,,,,,,
2020-04-02,Johor,27,395,3,13,,,,,,,
2020-04-02,Pahang,3,114,0,0,,,,,,,
2020-04-02,Terengganu,2,50,0,0,,,,,,,
2020-04-02,Kelantan,3,137,0,2,,,,,,,
2020-04-02,Sabah,1,210,0,1,,,,,,,
2020-04-02,Sarawak,23,211,1,9,,,,,,,
2020-04-02,Kuala Lumpur,34,488,0,11,,,,,,,
2020-04-02,Putrajaya,7,34,0,0,,,,,,,
2020-04-02,Labuan,0,10,0,0,,,,,,,
2020-04-03,Perlis,0,12,0,1,,,,,,,
2020-04-03,Kedah,1,81,0,1,,,,,,,
2020-04-03,Pulau Pinang,0,98,0,1,,,,,,,
2020-04-03,Perak,5,205,1,4,,,,,,,
2020-04-03,Selangor,63,863,1,4,,,,,,,
2020-04-03,Negeri Sembilan,4,211,1,4,,,,,,,
2020-04-03,Melaka,3,73,0,1,,,,,,,
2020-04-03,Johor,21,416,0,13,,,,,,,
2020-04-03,Pahang,13,127,0,0,,,,,,,
2020-04-03,Terengganu,18,68,0,0,,,,,,,
2020-04-03,Kelantan,0,137,0,2,,,,,,,
2020-04-03,Sabah,5,215,0,1,,,,,,,
2020-04-03,Sarawak,28,239,0,9,,,,,,,
2020-04-03,Kuala Lumpur,55,543,0,11,,,,,,,
2020-04-03,Putrajaya,1,35,0,0,,,,,,,
2020-04-03,Labuan,0,10,0,0,,,,,,,
2020-04-04,Perlis,0,12,0,1,,,,,,,
2020-04-04,Kedah,0,81,0,1,,,,,,,
2020-04-04,Pulau Pinang,1,99,0,1,,,,,,,
2020-04-04,Perak,2,207,0,4,,,,,,,
2020-04-04,Selangor,27,890,0,4,,,,,,,
2020-04-04,Negeri Sembilan,9,220,0,4,,,,,,,
2020-04-04,Melaka,2,75,0,1,,,,,,,
2020-04-04,Johor,6,422,0,13,,,,,,,
2020-04-04,Pahang,24,151,1,1,,,,,,,
2020-04-04,Terengganu,6,74,0,0,,,,,,,
2020-04-04,Kelantan,2,139,1,3,,,,,,,
2020-04-04,Sabah,10,225,0,1,,,,,,,
2020-04-04,Sarawak,7,246,1,10,,,,,,,
2020-04-04,Kuala Lumpur,52,595,1,12,,,,,,,
2020-04-04,Putrajaya,1,36,0,0,,,,,,,
2020-04-04,Labuan,1,11,0,0,,,,,,,
2020-04-05,Perlis,1,13,0,1,,,,,,,
2020-04-05,Kedah,1,82,0,1,,,,,,,
2020-04-05,Pulau Pinang,2,101,0,1,,,,,,,
2020-04-05,Perak,6,213,0,4,,,,,,,
2020-04-05,Selangor,53,943,0,4,,,,,,,
2020-04-05,Negeri Sembilan,11,231,0,4,,,,,,,
2020-04-05,Melaka,14,89,0,1,,,,,,,
2020-04-05,Johor,16,438,0,13,,,,,,,
2020-04-05,Pahang,7,158,0,1,,,,,,,
2020-04-05,Terengganu,10,84,0,0,,,,,,,
2020-04-05,Kelantan,2,141,0,3,,,,,,,
2020-04-05,Sabah,13,238,1,2,,,,,,,
2020-04-05,Sarawak,15,261,2,12,,,,,,,
2020-04-05,Kuala Lumpur,27,622,1,13,,,,,,,
2020-04-05,Putrajaya,1,37,0,0,,,,,,,
2020-04-05,Labuan,0,11,0,0,,,,,,,
2020-04-06,Perlis,0,13,0,1,,,,,,,
2020-04-06,Kedah,3,85,0,1,,,,,,,
2020-04-06,Pulau Pinang,0,101,0,1,,,,,,,
2020-04-06,Perak,6,219,0,4,,,,,,,
2020-04-06,Selangor,27,970,0,4,,,,,,,
2020-04-06,Negeri Sembilan,8,239,0,4,,,,,,,
